id,publication_year,cited_by_count,author_ids
https://openalex.org/W2997350526,2019,29,"https://openalex.org/A5003018197,https://openalex.org/A5036048915,https://openalex.org/A5061970875,https://openalex.org/A5026367340"
https://openalex.org/W2981408947,2019,16,"https://openalex.org/A5090181360,https://openalex.org/A5036048915,https://openalex.org/A5101686625,https://openalex.org/A5054288696,https://openalex.org/A5061970875,https://openalex.org/A5026367340"
https://openalex.org/W2981108228,2019,49,"https://openalex.org/A5003643142,https://openalex.org/A5003175047,https://openalex.org/A5084428542,https://openalex.org/A5012137140,https://openalex.org/A5061970875"
https://openalex.org/W2972236248,2019,13,"https://openalex.org/A5026671632,https://openalex.org/A5011511415,https://openalex.org/A5102014856,https://openalex.org/A5100412439,https://openalex.org/A5101706956,https://openalex.org/A5030963316,https://openalex.org/A5061970875,https://openalex.org/A5100780025"
https://openalex.org/W2947897884,2019,42,"https://openalex.org/A5033220444,https://openalex.org/A5045257439,https://openalex.org/A5101944661,https://openalex.org/A5081215155,https://openalex.org/A5002715264,https://openalex.org/A5061970875,https://openalex.org/A5108050913"
https://openalex.org/W2939769433,2019,27,"https://openalex.org/A5031319339,https://openalex.org/A5006265485,https://openalex.org/A5101907648,https://openalex.org/A5083359702,https://openalex.org/A5100449442,https://openalex.org/A5088032988,https://openalex.org/A5061970875,https://openalex.org/A5052874326"
https://openalex.org/W2927488443,2019,23,"https://openalex.org/A5023516815,https://openalex.org/A5102146946,https://openalex.org/A5101708511,https://openalex.org/A5004124230,https://openalex.org/A5061970875,https://openalex.org/A5100350370"
https://openalex.org/W2916811160,2019,23,"https://openalex.org/A5100427757,https://openalex.org/A5061970875,https://openalex.org/A5088721477"
https://openalex.org/W2915781689,2019,17,"https://openalex.org/A5023516815,https://openalex.org/A5100681998,https://openalex.org/A5102146946,https://openalex.org/A5061970875,https://openalex.org/A5100350386"
https://openalex.org/W2914396161,2019,18,"https://openalex.org/A5113746977,https://openalex.org/A5051498051,https://openalex.org/A5100707003,https://openalex.org/A5061970875,https://openalex.org/A5072912162"
https://openalex.org/W2941458407,2019,34,"https://openalex.org/A5101708511,https://openalex.org/A5102146946,https://openalex.org/A5100350370,https://openalex.org/A5061970875,https://openalex.org/A5112431755,https://openalex.org/A5004124230"
https://openalex.org/W2907305237,2019,26,"https://openalex.org/A5100758656,https://openalex.org/A5002296848,https://openalex.org/A5023516815,https://openalex.org/A5014715082,https://openalex.org/A5052004855,https://openalex.org/A5004124230,https://openalex.org/A5100664375,https://openalex.org/A5061970875,https://openalex.org/A5100350370"
https://openalex.org/W2903952003,2018,28,"https://openalex.org/A5075451449,https://openalex.org/A5100427749,https://openalex.org/A5061970875,https://openalex.org/A5088721477"
https://openalex.org/W2899098621,2018,53,"https://openalex.org/A5036387181,https://openalex.org/A5075712417,https://openalex.org/A5058738709,https://openalex.org/A5056157297,https://openalex.org/A5051209873,https://openalex.org/A5061970875,https://openalex.org/A5083445205"
https://openalex.org/W2890780092,2018,11,"https://openalex.org/A5075478312,https://openalex.org/A5109173169,https://openalex.org/A5081668151,https://openalex.org/A5011775041,https://openalex.org/A5088721477,https://openalex.org/A5061970875"
https://openalex.org/W2804012856,2018,18,"https://openalex.org/A5086298226,https://openalex.org/A5049629795,https://openalex.org/A5102928499,https://openalex.org/A5024837578,https://openalex.org/A5030723633,https://openalex.org/A5026683905,https://openalex.org/A5061970875,https://openalex.org/A5015642735,https://openalex.org/A5006206692"
https://openalex.org/W2791247965,2018,12,"https://openalex.org/A5100669214,https://openalex.org/A5031319339,https://openalex.org/A5006265485,https://openalex.org/A5061970875,https://openalex.org/A5083359702,https://openalex.org/A5088032988,https://openalex.org/A5056715787"
https://openalex.org/W2793251170,2018,17,"https://openalex.org/A5039164769,https://openalex.org/A5012461019,https://openalex.org/A5111990951,https://openalex.org/A5088721477,https://openalex.org/A5061970875,https://openalex.org/A5040257557,https://openalex.org/A5083445205"
https://openalex.org/W2726612154,2017,40,"https://openalex.org/A5100452021,https://openalex.org/A5026609836,https://openalex.org/A5061970875,https://openalex.org/A5100340927,https://openalex.org/A5087750967,https://openalex.org/A5057535830"
https://openalex.org/W2708054163,2017,45,"https://openalex.org/A5036387181,https://openalex.org/A5083445205,https://openalex.org/A5100423429,https://openalex.org/A5003684805,https://openalex.org/A5075712417,https://openalex.org/A5061970875"
https://openalex.org/W2595516898,2017,78,"https://openalex.org/A5006130188,https://openalex.org/A5061445169,https://openalex.org/A5034703343,https://openalex.org/A5061970875,https://openalex.org/A5022581605,https://openalex.org/A5088106667,https://openalex.org/A5063090685"
https://openalex.org/W2616404652,2017,22,"https://openalex.org/A5100423429,https://openalex.org/A5083445205,https://openalex.org/A5036387181,https://openalex.org/A5075712417,https://openalex.org/A5051209873,https://openalex.org/A5061970875"
https://openalex.org/W2604381921,2017,15,"https://openalex.org/A5080208063,https://openalex.org/A5047242385,https://openalex.org/A5081215155,https://openalex.org/A5061970875,https://openalex.org/A5101594638,https://openalex.org/A5115597673,https://openalex.org/A5108050913,https://openalex.org/A5033220444"
https://openalex.org/W2590139244,2017,111,"https://openalex.org/A5086298226,https://openalex.org/A5061970875,https://openalex.org/A5040052910,https://openalex.org/A5013348420,https://openalex.org/A5083445205,https://openalex.org/A5083359702"
https://openalex.org/W2586242862,2017,29,"https://openalex.org/A5005554590,https://openalex.org/A5042339914,https://openalex.org/A5074010739,https://openalex.org/A5061970875,https://openalex.org/A5072847592,https://openalex.org/A5089964743,https://openalex.org/A5009277635,https://openalex.org/A5014105109"
https://openalex.org/W2552497808,2016,11,"https://openalex.org/A5110782740,https://openalex.org/A5061970875,https://openalex.org/A5072062801,https://openalex.org/A5101527388,https://openalex.org/A5072032297"
https://openalex.org/W2395918112,2016,26,"https://openalex.org/A5100758656,https://openalex.org/A5100404202,https://openalex.org/A5053872563,https://openalex.org/A5006900597,https://openalex.org/A5100450710,https://openalex.org/A5061970875,https://openalex.org/A5100350370,https://openalex.org/A5101407603"
https://openalex.org/W614104846,2016,146,"https://openalex.org/A5061970875,https://openalex.org/A5103203665"
https://openalex.org/W2339858879,2016,23,"https://openalex.org/A5100381793,https://openalex.org/A5103542775,https://openalex.org/A5100332656,https://openalex.org/A5007270980,https://openalex.org/A5023084462,https://openalex.org/A5061970875,https://openalex.org/A5108734696,https://openalex.org/A5013348420"
https://openalex.org/W2340559772,2016,11,"https://openalex.org/A5101628086,https://openalex.org/A5061970875,https://openalex.org/A5001523154,https://openalex.org/A5101568219,https://openalex.org/A5101619783,https://openalex.org/A5103203665"
https://openalex.org/W2173868173,2015,24,"https://openalex.org/A5075888012,https://openalex.org/A5061970875,https://openalex.org/A5100350370,https://openalex.org/A5004124230,https://openalex.org/A5049482441,https://openalex.org/A5090662907"
https://openalex.org/W1785285541,2015,26,"https://openalex.org/A5005554590,https://openalex.org/A5005893814,https://openalex.org/A5061970875,https://openalex.org/A5089964743,https://openalex.org/A5072847592,https://openalex.org/A5014105109"
https://openalex.org/W2489265481,2015,37,https://openalex.org/A5061970875
